Ad,Qiymət,Müqayisə Qiyməti,Endirimli Qiymət,Formatlı Qiymət,Valyuta,SKU,Stokda,Kateqoriya (Ribbon),Məhsul URL,Şəkil URL
Hi-509FAİP8A  8.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,160,0,160,"160,00AZN",AZN,Hi-509FAİP8A,Bəli,4K-ip,https://avitelservice.wixsite.com/-site/product-page/hi-509faip8a-8-0mp-full-color-video-audio-dome-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
18U Rack cabinet ,680,0,680,"680,00AZN",AZN,,Bəli,18U,https://avitelservice.wixsite.com/-site/product-page/18u-rack-cabinet-2,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_600,h_600,q_90/file.jpg"
Hi-8DiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 ,135,128.25,128.25,"135,00AZN",AZN,671253175371,Bəli,Скидка,https://avitelservice.wixsite.com/-site/product-page/hi-8dip3b-3-0mp-full-color-video-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
Hi-7CiP3B   3.0MP Video & Audio Dome IP Camera  H.265     anti vandal           ,140,0,140,"140,00AZN",AZN,21554345656,Bəli,Lift kamerası,https://avitelservice.wixsite.com/-site/product-page/hi-7cip3b-3-0mp-video-audio-dome-ip-camera-h-265-anti-vandal,"https://static.wixstatic.com/media/f39d46_24b008fe7cac4e61a38290706ebb3518~mv2.jpg/v1/fit/w_3000,h_2290,q_90/file.jpg"
NVR-6036Ai,620,0,620,"620,00AZN",AZN,,Bəli,36portNVR,https://avitelservice.wixsite.com/-site/product-page/nvr-6036ai,"https://static.wixstatic.com/media/f39d46_b28b9936a39b4f168655b6c70c79eae8~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
Hi-509FAİP3B  3.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,102,0,102,"102,00AZN",AZN,Hi-509FAİP3B,Bəli,3mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-509faip3b-3-0mp-full-color-vidoe-audio-dome-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
WD,75,0,75,"75,00AZN",AZN,,Bəli,2tb-R,https://avitelservice.wixsite.com/-site/product-page/wd-2,"https://static.wixstatic.com/media/f39d46_0cbb0ae6d7ac4e73ac6edd358eaf953c~mv2.jpg/v1/fit/w_840,h_1216,q_90/file.jpg"
Hi-88AiP5A   5.0MP Full-Color Video & Audio Bullet IP Camera / H.265 ,135,0,135,"135,00AZN",AZN,,Bəli,5MP-İP,https://avitelservice.wixsite.com/-site/product-page/hi-88aip5a-5-0mp-full-color-vidoe-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
HDD WD purx,245,0,245,"245,00AZN",AZN,,Bəli,,https://avitelservice.wixsite.com/-site/product-page/hdd-wd-purx,"https://static.wixstatic.com/media/f39d46_f781401b9f434da8a32cb26c502e1e02~mv2.jpg/v1/fit/w_650,h_650,q_90/file.jpg"
HI-6016A,260,0,260,"260,00AZN",AZN,,Bəli,16portDVR,https://avitelservice.wixsite.com/-site/product-page/hi-6016a,"https://static.wixstatic.com/media/f39d46_b28b9936a39b4f168655b6c70c79eae8~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
NVR-5016C-Ai,410,0,410,"410,00AZN",AZN,,Bəli,16portNVR,https://avitelservice.wixsite.com/-site/product-page/nvr-5016c-ai,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
42 U Rack cabinet ,1280,0,1280,"1 280,00AZN",AZN,,Bəli,42U 800*800,https://avitelservice.wixsite.com/-site/product-page/42-u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_643,h_1200,q_90/file.jpg"
WD ,35,0,35,"35,00AZN",AZN,,Bəli,500gb-R,https://avitelservice.wixsite.com/-site/product-page/wd,"https://static.wixstatic.com/media/f39d46_72c928262cbc480d8af6038d49d69376~mv2.png/v1/fit/w_500,h_500,q_90/file.png"
WD,150,0,150,"150,00AZN",AZN,,Bəli,4TB-R,https://avitelservice.wixsite.com/-site/product-page/wd-3,"https://static.wixstatic.com/media/f39d46_ec45d978b300493ab988f4f682aae9d9~mv2.jpg/v1/fit/w_840,h_840,q_90/file.jpg"
WD,55,0,55,"55,00AZN",AZN,,Bəli,1TB-R,https://avitelservice.wixsite.com/-site/product-page/wd-1,"https://static.wixstatic.com/media/f39d46_f5f11c846d5c4d698bdaffd8d2cc1555~mv2.jpg/v1/fit/w_700,h_700,q_90/file.jpg"
18U Rack cabinet ,360,0,360,"360,00AZN",AZN,,Bəli,18U,https://avitelservice.wixsite.com/-site/product-page/18u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_600,h_600,q_90/file.jpg"
42U Rack cabinet ,1010,0,1010,"1 010,00AZN",AZN,,Bəli,42U,https://avitelservice.wixsite.com/-site/product-page/42u-rack-cabinet-1,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_626,h_1000,q_90/file.png"
2.1mp AHD colorvu kamera,65,0,65,"65,00AZN",AZN,364215375135191,Bəli,,https://avitelservice.wixsite.com/-site/product-page/2-1mp-ahd-colorvu-kamera,"https://static.wixstatic.com/media/f39d46_e3cffcdee11c4fa9992823fcdf9ec75e~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
HI-6004A-E,118,0,118,"118,00AZN",AZN,,Bəli,4portDVR,https://avitelservice.wixsite.com/-site/product-page/hi-6004a-e,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
NVR-8016B (mini 20sm),355,0,355,"355,00AZN",AZN,,Bəli,16portMİNİ,https://avitelservice.wixsite.com/-site/product-page/nvr-8016b-mini-20sm,"https://static.wixstatic.com/media/f39d46_07f0701c858648588d772423bb2f7dcc~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
Smart AI PTZ,115,86.25,86.25,"115,00AZN",AZN,364215376135191,Bəli,Скидка,https://avitelservice.wixsite.com/-site/product-page/smart-ai-ptz,"https://static.wixstatic.com/media/f39d46_e06e75f2274c4479be9b4ed85c061189~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
27U Rack cabinet ,690,0,690,"690,00AZN",AZN,,Bəli,27U,https://avitelservice.wixsite.com/-site/product-page/27u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_450,h_451,q_90/file.jpg"
Hi-8GAiP3RB   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 .TF  sd car,235,0,235,"235,00AZN",AZN,284215376135191,Bəli,3mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-8gaip3rb-3-0mp-full-color-video-audio-bullet-ip-camera-h-265-tf-sd-car,"https://static.wixstatic.com/media/f39d46_bc449b7ae25e417d9a58e765f7e54df4~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
NVR-8009A-AI,230,0,230,"230,00AZN",AZN,,Bəli,9kanal NVR,https://avitelservice.wixsite.com/-site/product-page/nvr-8009a-ai,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
Nvr,265,0,265,"265,00AZN",AZN,,Bəli,,https://avitelservice.wixsite.com/-site/product-page/nvr,"https://static.wixstatic.com/media/f39d46_281b48e1ec6f4e29817dff4d921645a0~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
NVR-9336Ai (Dinamikli),720,0,720,"720,00AZN",AZN,,Bəli,36portNVR,https://avitelservice.wixsite.com/-site/product-page/nvr-9336ai-dinamikli,"https://static.wixstatic.com/media/f39d46_7746909d262b458aa95a7f84f38d628c~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
Hi-509FAİP5A  5.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,123,0,123,"123,00AZN",AZN,Hi-509FAİP5A,Bəli,5mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-509faip5a-5-0mp-full-color-vidoe-audio-dome-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
22U Rack cabinet ,880,0,880,"880,00AZN",AZN,,Bəli,22U,https://avitelservice.wixsite.com/-site/product-page/22u-rack-cabinet-2,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_458,h_729,q_90/file.jpg"
15U Rack cabinet ,350,0,350,"350,00AZN",AZN,,Bəli,15U,https://avitelservice.wixsite.com/-site/product-page/15u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_1000,h_998,q_90/file.png"
Hi-88AiP8K   8.0MP Full-Color Video & Audio Bullet IP Camera / H.265            ,168,0,168,"168,00AZN",AZN,Hi-88AiP8K,Bəli,4K-İP,https://avitelservice.wixsite.com/-site/product-page/hi-88aip8k-8-0mp-full-color-vidoe-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
Kabel,0.6,0,0.6,"0,60AZN",AZN,,Bəli,,https://avitelservice.wixsite.com/-site/product-page/kabel,"https://static.wixstatic.com/media/f39d46_06641564e1d24d6fbe6a608dd951d63c~mv2.jpg/v1/fit/w_1200,h_740,q_90/file.jpg"
HI-66AVIP3B,65,0,65,"65,00AZN",AZN,HI-66AVIP3B,Bəli,3mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-66avip3b,"https://static.wixstatic.com/media/f39d46_dccbbf20212d4260831fe1d0ea1aeb69~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
22U Rack cabinet ,760,0,760,"760,00AZN",AZN,,Bəli,22U,https://avitelservice.wixsite.com/-site/product-page/22u-rack-cabinet-1,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_458,h_729,q_90/file.jpg"
Hi-8GiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 .,192,0,192,"192,00AZN",AZN,632835642834572,Bəli,3m-ip,https://avitelservice.wixsite.com/-site/product-page/hi-8gip3b-3-0mp-full-color-video-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_44cad2fa9c594811bb723d371f726c89~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
12U Rack cabinet ,260,0,260,"260,00AZN",AZN,,Bəli,12U,https://avitelservice.wixsite.com/-site/product-page/12u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_1000,h_998,q_90/file.png"
22U Rack cabinet ,660,0,660,"660,00AZN",AZN,,Bəli,22U,https://avitelservice.wixsite.com/-site/product-page/22u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_458,h_729,q_90/file.jpg"
HI-5008A-E,180,0,180,"180,00AZN",AZN,,Bəli,8portDVR,https://avitelservice.wixsite.com/-site/product-page/hi-5008a-e,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
Tanıtım kompaniyası ,650,0,650,"650,00AZN",AZN,,Bəli,,https://avitelservice.wixsite.com/-site/product-page/tanıtım-kompaniyası,"https://static.wixstatic.com/media/f39d46_5b6107b863934e79a198d691a8a9a1e9~mv2.png/v1/fit/w_1080,h_1920,q_90/file.png"
Hi-AViP5B   5.0MP Full-Color Video & Audio Dome IP Camera  H.265 ,125,0,125,"125,00AZN",AZN,217537123517253,Bəli,5mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-avip5b-5-0mp-full-color-video-audio-dome-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_f2b790bf92c94d4e8aaab2cc83d3d674~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
9U Rack cabinet ,210,0,210,"210,00AZN",AZN,,Bəli,9U,https://avitelservice.wixsite.com/-site/product-page/9u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_c0b5418892f948c58eb39ced0c9b769a~mv2.webp/v1/fit/w_360,h_360,q_90/file.webp"
42U Rack cabinet ,1200,0,1200,"1 200,00AZN",AZN,,Bəli,42U,https://avitelservice.wixsite.com/-site/product-page/42u-rack-cabinet-2,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_626,h_1000,q_90/file.png"
27U Rack cabinet ,830,0,830,"830,00AZN",AZN,,Bəli,27U,https://avitelservice.wixsite.com/-site/product-page/27u-rack-cabinet-1,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_450,h_451,q_90/file.jpg"
27U Rack cabinet ,930,0,930,"930,00AZN",AZN,,Bəli,27U,https://avitelservice.wixsite.com/-site/product-page/27u-rack-cabinet-2,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_450,h_451,q_90/file.jpg"
Ваш товарHi-8DiP5A   5.0MP Full-Color Video & Audio Bullet IP Camera  H.265 ,164,155.8,155.8,"164,00AZN",AZN,366615376135191,Bəli,5mp-ip,https://avitelservice.wixsite.com/-site/product-page/ваш-товарhi-8dip5a-5-0mp-full-color-video-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
18U Rack cabinet ,680,0,680,"680,00AZN",AZN,,Bəli,18U,https://avitelservice.wixsite.com/-site/product-page/18u-rack-cabinet-1,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_600,h_600,q_90/file.jpg"
Hi-88AiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera / H.265 ,115,0,115,"115,00AZN",AZN,Hi-88AiP3B ,Bəli,3mp-ip Full-Color ,https://avitelservice.wixsite.com/-site/product-page/hi-88aip3b-3-0mp-full-color-vidoe-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
42U Rack cabinet ,1520,0,1520,"1 520,00AZN",AZN,,Bəli,42U 800*1200,https://avitelservice.wixsite.com/-site/product-page/42u-rack-cabinet-4,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_643,h_1200,q_90/file.jpg"
6U Rack cabinet ,150,0,150,"150,00AZN",AZN,,Bəli,6U,https://avitelservice.wixsite.com/-site/product-page/6u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_c0b5418892f948c58eb39ced0c9b769a~mv2.webp/v1/fit/w_360,h_360,q_90/file.webp"
Ваш товарHi-AViP3B   3.0MP Full-Color Video & Audio Dome IP Camera  H.265 ,102,0,102,"102,00AZN",AZN,364115376135191,Bəli,Лидер продаж,https://avitelservice.wixsite.com/-site/product-page/ваш-товарhi-avip3b-3-0mp-full-color-video-audio-dome-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_f2b790bf92c94d4e8aaab2cc83d3d674~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
4U Rack cabinet ,90,0,90,"90,00AZN",AZN,,Bəli,4U,https://avitelservice.wixsite.com/-site/product-page/4u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_89defb8af60b4a248f0fc07559a70471~mv2.jpg/v1/fit/w_600,h_600,q_90/file.jpg"
"INAX35Y-M-H V3.0
Cloud management
",340,0,340,"340,00AZN",AZN,,Bəli,,https://avitelservice.wixsite.com/-site/product-page/inax35y-m-h-v3-0-cloud-management,"https://static.wixstatic.com/media/f39d46_fc3cb770771343a1ac326532d62bc4ff~mv2.png/v1/fit/w_360,h_360,q_90/file.png"
Hi-9CAiP3B   3.0MP Full-Color Video & Audio Dome IP Camera  H.265     (two way a,210,0,210,"210,00AZN",AZN,126351351935,Bəli,3mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-9caip3b-3-0mp-full-color-video-audio-dome-ip-camera-h-265-two-way-a,"https://static.wixstatic.com/media/f39d46_b7d039e8e4134728a1fd5e7d4b41abdc~mv2.jpg/v1/fit/w_960,h_1280,q_90/file.jpg"
42U Rack cabinet ,920,0,920,"920,00AZN",AZN,,Bəli,42U,https://avitelservice.wixsite.com/-site/product-page/42u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_626,h_1000,q_90/file.png"
Hi-8DiP8A   8.0MP Full-Color Video & Audio Bullet IP Camera  H.265        4K,213,0,213,"213,00AZN",AZN,36523641234523,Bəli,4K-ip,https://avitelservice.wixsite.com/-site/product-page/hi-8dip8a-8-0mp-full-color-video-audio-bullet-ip-camera-h-265-4k,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
Ваш товарHi-8DAiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 .TF,165,0,165,"165,00AZN",AZN,364215376135199,Bəli,3mp-ip,https://avitelservice.wixsite.com/-site/product-page/ваш-товарhi-8daip3b-3-0mp-full-color-video-audio-bullet-ip-camera-h-265-tf,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
42U Rack cabinet ,1400,0,1400,"1 400,00AZN",AZN,,Bəli,42U 800*1000,https://avitelservice.wixsite.com/-site/product-page/42u-rack-cabinet-3,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_643,h_1200,q_90/file.jpg"
HI-6008A,160,0,160,"160,00AZN",AZN,,Bəli,8portDVR,https://avitelservice.wixsite.com/-site/product-page/hi-6008a,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
TD-SW6G V2.2,210,0,210,"210,00AZN",AZN,,Bəli,Management 4poe+2upling GE,https://avitelservice.wixsite.com/-site/product-page/td-sw6g-v2-2,"https://static.wixstatic.com/media/f39d46_a24981f8ccf14bb982ad14f3f09a9a8c~mv2.jpg/v1/fit/w_800,h_800,q_90/file.jpg"
HI-66AVIP5A,85,0,85,"85,00AZN",AZN,HI-66AVIP5A 5mp,Bəli,5mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-66avip5a,"https://static.wixstatic.com/media/f39d46_dccbbf20212d4260831fe1d0ea1aeb69~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
NVR-9116Ai (Dinamikli),460,0,460,"460,00AZN",AZN,,Bəli,16portNVR,https://avitelservice.wixsite.com/-site/product-page/nvr-9116ai-dinamikli,"https://static.wixstatic.com/media/f39d46_7746909d262b458aa95a7f84f38d628c~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
