name,sku,price,stock_qty,warranty_months,thumbnail_url,category,description,brand
"INAX35Y-M-H V3.0
Cloud management
",INAX35Y-M-H-V3-0-Cloud-management,340,10,24,"https://static.wixstatic.com/media/f39d46_fc3cb770771343a1ac326532d62bc4ff~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,Basic Information:•Throughput Rate-1800Mbps•Transmit Power-200mW•5-GHz Radio-YES•Recommended Clients-60 PCS•Concurrent Clients-120 PCS•802.11AX-YES•Networking Interface-2 PCS•NO. of SFP-0 PCS•Port Rate-1000Mbps RJ45•Cloud Management-YES•Fit/Fat Model-Fit&Fat•Power Supply-DC 12V / PoE•Installation Method-Ceiling mounted•Dimensions (W*L*H)-160*160*35mm•Weight (KG)-350g,
TD-SW6G V2.2,TD-SW6G-V2-2,210,10,24,"https://static.wixstatic.com/media/f39d46_a24981f8ccf14bb982ad14f3f09a9a8c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"TD-SW6G V2.2Interface4*10/100/1000Mbps RJ45 Ports (PoE Power Supply)2*10/100/1000Mbps RJ45 PortStandardIEEE 802.3, IEEE 802.3u, IEEE 802.3ab, IEEE 802.3z, IEEE 802.3x, IEEE802.1x, IEEE 802.1q, IEEE 802.1p, IEEE 802.1d, IEEE 802.1w, IEEE802.3ad, IEEE802.3af, IEEE802.3atPoE StandardIEEE802.3af/atPoE PortPort 1~4PoE Single Port OutputMax：30WInput VoltageAC: 100-240V 50/60HzPoE Total Power60WTotal Power Supply65WRJ45 PoE Power SupplyMode A  1/2 (+) 3/6 (-)MAC Address Table8K, Auto-learning, Auto-agingTransfer ModeStore-and-forwardSwitching Capacity12GbpsJumbo Frame9216BytesPacket Buffer4.1MbitPacket Forward Speed8.93MppsOperating Temperature0℃~40℃Storage Temperature-40℃~70℃Operating Humidity10%~90% RH (Non-condensed)Storage Humidity5%~90% RH (Non-condensed)Dimensions(L*W*H)168*94*32mmWeight0.54kgFan QuantityFanlessNetwork Media(Cable)10BASE-T: UTP category 3, 4, 5 cable (≤100m)100BASE-TX: UTP category 5, 5e cable (≤100m)1000BASE-T: UTP category 5e, 6 cable (≤100m)Surge ProtectionDifferential mode ±2KV ，Common mode ±4KV MTBF>50000 HoursElectrostatic StandardContact ±6KV , Air ±8KVSoftware Specification-BasicLogin Authentication and LogoutBilingual (Chinese-English Switching)Port Panel (Dual Color Rate Differentiator)：1000M Green，100M / 10M Orange YellowSystem ConfigurationEquipment Information：Device Name，Device Contact，Location of EquipmentIP Address Setting：Static，DHCP Client，Support the DNSWeb Configuration：Web Timeout SettingUser Management：The password must contain at least six letters and digitsThe Firmware Update：Local UpgradeEquipment Management：Equipment to Restart，Save Settings，Factory Data ResetMonitoring ManagementThe Port StatisticalCable TestingRing Network Configuration：rlppSwitch ConfigurationPort Configuration：Status，Speed/Duplex/Flow ControlPort Mirror：Entrance/Exit /ALLPort IsolationStatic MACMAC FilteringMAC QueryMAC List：Categories Display Static/DynamicVLAN ConfigurationMember of the VLANVLAN Configuration：Access、TrunkQOS ConfigurationPort Speed LimitThe Broadcast StormPoE ConfigurationThe Basic Configuration：Enable/Disable Power Supply，Mandatory Power Supply，Power LimitPD AliveMCU UpgradeONVIFONVIF Detection：Support",
WD,WD,150,10,24,"https://static.wixstatic.com/media/f39d46_ec45d978b300493ab988f4f682aae9d9~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,WD PURPLE 4TB 3.5 SATA HDD .R.,
WD,WD,75,10,24,"https://static.wixstatic.com/media/f39d46_0cbb0ae6d7ac4e73ac6edd358eaf953c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,WD PURPLE 2TB 3.5 SATA HDD .R.,
WD,WD,55,10,24,"https://static.wixstatic.com/media/f39d46_f5f11c846d5c4d698bdaffd8d2cc1555~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,WD PURPLE 1TB 3.5 SATA HDD .R.,
WD ,WD,35,10,24,"https://static.wixstatic.com/media/f39d46_72c928262cbc480d8af6038d49d69376~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,WD PURPLE 500GB 3.5 SATA HDD .R.,
HI-6016A,HI-6016A,260,10,24,"https://static.wixstatic.com/media/f39d46_b28b9936a39b4f168655b6c70c79eae8~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""HI-6016ARecording: 16*5M-N/16*4M/16*3M/16*1080PAudio: TVI-AHD-CVİ 16CH Coaxial audioSupport: 1 x HDD,USB Mouse,1ch VGA,1ch HDMI,Power adapter: DC12V/2A ,RCA Audio, BNC VIDEO OUT Hisilicon DSP""",
HI-5008A-E,HI-5008A-E,180,10,24,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""HI-5008A-ESupport Face Playback and SmartPlayback;Recording: 8*5M-N /8*4M /8*3M /8*1080PAudio: TVI-AHD-CVİ 8CH Coaxial audioSupport: 1 x HDD,USB Mouse,1ch VGA,1ch HDMIPower adapter: DC12V/2A ,RCA Audio, BNC VIDEO OUT Hisilicon DSP""",
HI-6008A,HI-6008A,160,10,24,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""HI-6008ARecording: 8*5M-N /8*4M /8*3M /8*1080PAudio: TVI-AHD-CVİ 8CH Coaxial audioSupport: 1 x HDD,USB Mouse,1ch VGA,1ch HDMIPower adapter: DC12V/2A ,RCA Audio, BNC VIDEO OUT Hisilicon DSP""",
HI-6004A-E,HI-6004A-E,118,10,24,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""HI-6004A-ERecording: 4*5M-N/4*4M/4*3M/4*1080PAudio: TVI-AHD-CVİ 4CH Coaxial audioSupport: 1 x HDD,USB Mouse,1ch VGA,1ch HDMIPower adapter: DC12V/2AHisilicon DSP""",
NVR-9336Ai (Dinamikli),NVR-9336Ai--Dinamikli,720,10,24,"https://static.wixstatic.com/media/f39d46_7746909d262b458aa95a7f84f38d628c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-9336A-AI.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:2pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 320Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.speaker .Size: (L)310*(W) 210* ( H )42mm,  1.1kg ; """,
NVR-6036Ai,NVR-6036Ai,620,10,24,"https://static.wixstatic.com/media/f39d46_b28b9936a39b4f168655b6c70c79eae8~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-6036B-AI1. 36CH 5MP/3M/2M/1.3M/1M, 16CH 8MP, H.265+2. HDD:2pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;3. Incoming Bandwidth: 320Mb;  4. Playback:1CH 5MP,4CH 1080p, 4/8CH D1 5. HDMI ,VGA, USB,Onvif2.4,6. Support, humanoid, face detection, Ai function;7.Size: (L)255*(W) 218* ( H )42mm,  1.1kg""",
NVR-9116Ai (Dinamikli),NVR-9116Ai--Dinamikli,460,10,24,"https://static.wixstatic.com/media/f39d46_7746909d262b458aa95a7f84f38d628c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-9116A-AI.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:2pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 320Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.speaker .Size: (L)310*(W) 210* ( H )42mm,  1.1kg ; """,
NVR-8016B (mini 20sm),NVR-8016B--mini-20sm,355,10,24,"https://static.wixstatic.com/media/f39d46_07f0701c858648588d772423bb2f7dcc~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-8016B-Ai.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:1pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 160Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.    .Size: 200*175* 42mm,  0.8kg""",
NVR-5016C-Ai,NVR-5016C-Ai,410,10,24,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-5016C-AI.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:1pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 160Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.Size: (L)255*(W) 218* ( H )42mm,  1.1kg""",
NVR-8009A-AI,NVR-8009A-AI,230,10,24,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-8009A-AI1. 9CH 4K H.265+/H.2642. HDD:1x 8TB SATA HDD Port ,Audio: 1CH Out ;3. Incoming Bandwidth: 80Mb;  4. Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; 5. HDMI ,VGA, USB,Onvif2.4,6. Support, humanoid, face detection, AI function 7. Size: (L)255*(W) 218* ( H )42mm,  1.1kg""",
Tanıtım kompaniyası ,Tan-t-m-kompaniyas,650,10,24,"https://static.wixstatic.com/media/f39d46_5b6107b863934e79a198d691a8a9a1e9~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,Avtomatik əlavə edilmiş: Tanıtım kompaniyası ,
42U Rack cabinet ,42U-Rack-cabinet,1520,10,24,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,800*1200 indoor wall mounted Rack cabinet,
42U Rack cabinet ,42U-Rack-cabinet,1400,10,24,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,800*1000 indoor wall mounted Rack cabinet,
42 U Rack cabinet ,42-U-Rack-cabinet,1280,10,24,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,800*800 indoor wall mounted Rack cabinet,
42U Rack cabinet ,42U-Rack-cabinet,1200,10,24,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*1000 indoor wall mounted Rack cabinet,
42U Rack cabinet ,42U-Rack-cabinet,1010,10,24,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*800 indoor wall mounted Rack cabinet,
42U Rack cabinet ,42U-Rack-cabinet,920,10,24,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*600 indoor wall mounted Rack cabinet,
27U Rack cabinet ,27U-Rack-cabinet,930,10,24,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*1000 indoor wall mounted Rack cabinet,
27U Rack cabinet ,27U-Rack-cabinet,830,10,24,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*800 indoor wall mounted Rack cabinet,
27U Rack cabinet ,27U-Rack-cabinet,690,10,24,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*600 indoor wall mounted Rack cabinet,
22U Rack cabinet ,22U-Rack-cabinet,880,10,24,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*1000 indoor wall mounted Rack cabinet,
22U Rack cabinet ,22U-Rack-cabinet,760,10,24,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*800 indoor wall mounted Rack cabinet,
22U Rack cabinet ,22U-Rack-cabinet,660,10,24,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*600 indoor wall mounted Rack cabinet,
18U Rack cabinet ,18U-Rack-cabinet,680,10,24,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*1000 indoor wall mounted Rack cabinet,
18U Rack cabinet ,18U-Rack-cabinet,680,10,24,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*800 indoor wall mounted Rack cabinet,
18U Rack cabinet ,18U-Rack-cabinet,360,10,24,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*600 indoor wall mounted Rack cabinet,
15U Rack cabinet ,15U-Rack-cabinet,350,10,24,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*600 indoor wall mounted Rack cabinet,
12U Rack cabinet ,12U-Rack-cabinet,260,10,24,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*600 indoor wall mounted Rack cabinet,
9U Rack cabinet ,9U-Rack-cabinet,210,10,24,"https://static.wixstatic.com/media/f39d46_c0b5418892f948c58eb39ced0c9b769a~mv2.webp/v1/fit/w_500,h_500,q_90/file.webp",,600*600 indoor wall mounted Rack cabinet,
6U Rack cabinet ,6U-Rack-cabinet,150,10,24,"https://static.wixstatic.com/media/f39d46_c0b5418892f948c58eb39ced0c9b769a~mv2.webp/v1/fit/w_500,h_500,q_90/file.webp",,600*450 indoor wall mounted Rack cabinet,
