name,sku,price,stock_qty,warranty_months,thumbnail_url,category,description,brand
4U Rack cabinet ,4U-Rack-cabinet,90,10,24,"https://static.wixstatic.com/media/f39d46_89defb8af60b4a248f0fc07559a70471~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,542*400 indoor wall mounted Rack cabinet,
Hi-88AiP8K   8.0MP Full-Color Video & Audio Bullet IP Camera / H.265            ,Hi-88AiP8K,168,10,24,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •3840*2160/2880*1624/2560*1440/2304*1296/1920*1080•8MP&15Fps/5MP/4MP/3MP2MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Metal+Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •187*60*72mm /0,35kg""""""""""""""",
Hi-88AiP5A   5.0MP Full-Color Video & Audio Bullet IP Camera / H.265 ,Hi-88AiP5A---5-0MP-Full-Color-Video---Audio-Bullet,135,10,24,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2880*1624/2560*1440.2034*1296.1920*1080.1280*720p•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 20m•Metal-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •187*60*72mm /0,35kg",
Hi-88AiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera / H.265 ,Hi-88AiP3B ,115,10,24,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Metal+Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •187*60*72mm /0,35kg""""""",
Hi-509FAİP8A  8.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,Hi-509FAİP8A,160,10,24,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •3840*2160/2880*1624/2560*1440/2304*1296/1920*1080•8MP&15Fps/5MP/4MP/3MP2MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •102*82mm /0,32kg",
Hi-509FAİP5A  5.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,Hi-509FAİP5A,123,10,24,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2880*1624/2560*1440.2034*1296.1920*1080.1280*720p•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •102*82mm /0,32kg",
Hi-509FAİP3B  3.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,Hi-509FAİP3B,102,10,24,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •102*82mm /0,32kg",
HI-66AVIP5A,HI-66AVIP5A 5mp,85,10,24,"https://static.wixstatic.com/media/f39d46_dccbbf20212d4260831fe1d0ea1aeb69~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2880*1624,2560*1440.2034*1296.1920*1080.•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Full Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •175p*60*72mm /0,3kg""",
HI-66AVIP3B,HI-66AVIP3B,65,10,24,"https://static.wixstatic.com/media/f39d46_dccbbf20212d4260831fe1d0ea1aeb69~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Full Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •175p*60*72mm /0,3kg""",
Kabel,Kabel,0.6,10,24,"https://static.wixstatic.com/media/f39d46_06641564e1d24d6fbe6a608dd951d63c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Cat 6e,
Nvr,Nvr,265,10,24,"https://static.wixstatic.com/media/f39d46_281b48e1ec6f4e29817dff4d921645a0~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"NVR-8009A-AI1. 9CH 4K H.265+/H.2642. HDD:1x 8TB SATA HDD Port ,Audio: 1CH Out ;3. Incoming Bandwidth: 80Mb;  4. Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; 5. HDMI ,VGA, USB,Onvif2.4,6. Support, humanoid, face detection, AI function",
HDD WD purx,HDD-WD-purx,245,10,24,"https://static.wixstatic.com/media/f39d46_f781401b9f434da8a32cb26c502e1e02~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Avtomatik əlavə edilmiş: HDD WD purx,
Smart AI PTZ,364215376135191,86.25,10,24,"https://static.wixstatic.com/media/f39d46_e06e75f2274c4479be9b4ed85c061189~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"Это описание товара. Здесь вы можете рассказать о товаре подробнее: напишите о размерах, материалах, уходе и любых других важных моментах.",
2.1mp AHD colorvu kamera,364215375135191,65,10,24,"https://static.wixstatic.com/media/f39d46_e3cffcdee11c4fa9992823fcdf9ec75e~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"Это описание товара. Здесь вы можете рассказать о товаре подробнее: напишите о размерах, материалах, уходе и любых других важных моментах.",
Ваш товарHi-AViP3B   3.0MP Full-Color Video & Audio Dome IP Camera  H.265 ,364115376135191,102,10,24,"https://static.wixstatic.com/media/f39d46_f2b790bf92c94d4e8aaab2cc83d3d674~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Metal ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •89*90mm /0,4kg""",
Hi-8GAiP3RB   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 .TF  sd car,284215376135191,235,10,24,"https://static.wixstatic.com/media/f39d46_bc449b7ae25e417d9a58e765f7e54df4~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""•Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR•Two‐way audio (Mic+Speaker)mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •1pcs Red 1PCS Blue LED,2pcs Double LED)20m•Full Metall‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •188*67*75mm 0,6kg""""""",
Ваш товарHi-8DAiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 .TF,364215376135199,165,10,24,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""•Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protokol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR•Two‐way audio (Mic+Speaker)mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •4PCS Smart Dual Light LED 40m•Full Metall‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •204*65*69*17mm /0,65kg""""""",
Ваш товарHi-8DiP5A   5.0MP Full-Color Video & Audio Bullet IP Camera  H.265 ,366615376135191,155.8,10,24,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •2880*1624/2560*1440.2034*1296.1920*1080.1280*720p•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •4PCS Smart Dual Light LED 40m•Full Metall‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA """"•204*65*69*17mm /0,6kg""""""",
Hi-8GiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 .,632835642834572,192,10,24,"https://static.wixstatic.com/media/f39d46_44cad2fa9c594811bb723d371f726c89~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""•Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR•Two‐way audio (Mic+Speaker)mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3pcs Double LED)30m•Full Metall‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •188*67*75mm /0,6kg"""""".",
Hi-8DiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 ,671253175371,128.25,10,24,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •4PCS Smart Dual Light LED 40m•Full Metall‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •204*65*69*17mm /0,6kg""""""",
Hi-AViP5B   5.0MP Full-Color Video & Audio Dome IP Camera  H.265 ,217537123517253,125,10,24,"https://static.wixstatic.com/media/f39d46_f2b790bf92c94d4e8aaab2cc83d3d674~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •2880*1624/2560*1440.2034*1296.1920*1080.1280*720p•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Metal ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •89*90mm /0,4kg""",
Hi-7CiP3B   3.0MP Video & Audio Dome IP Camera  H.265     anti vandal           ,21554345656,140,10,24,"https://static.wixstatic.com/media/f39d46_24b008fe7cac4e61a38290706ebb3518~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection.Elevator camera•2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional ip 65•14PCS infrared Light LED 10m ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •0,4kg"".",
Hi-8DiP8A   8.0MP Full-Color Video & Audio Bullet IP Camera  H.265        4K,36523641234523,213,10,24,"https://static.wixstatic.com/media/f39d46_11f09ce3539045e7be56ad4e61946adb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •3840*2160/2880*1624/2560*1440/2304*1296/1920*1080•8MP&15Fps/5MP/4MP/3MP2MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •4PCS Smart Dual Light LED 40m•Full Metall‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •204*65*69*17mm /0,6kg""""""",
Hi-9CAiP3B   3.0MP Full-Color Video & Audio Dome IP Camera  H.265     (two way a,126351351935,210,10,24,"https://static.wixstatic.com/media/f39d46_b7d039e8e4134728a1fd5e7d4b41abdc~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / •Two‐way audio (Mic+Speaker)mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 30m•Full-Metal ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •125*110mm /0,6kg""",
